"especie","key"
"Myiopagis caniceps",2482960
"Myiophobus fasciatus",5229801
"Myiornis auricularis",2482866
"Myiozetetes cayanensis",2482921
"Myiozetetes similis",2482913
"Myospiza humeralis",2491303
"Myrmeciza ruficauda",2490149
"Myrmoderus loricatus",9434670
"Myrmotherula axillaris",2490191
"Myrmotherula minor",2490199
"Myrmotherula urosticta",2490186
"Myrtis fanny",2476139
"Não_identificada",0
"Nemosia pileata",5230589
"Neomorphus geoffroyi",5232020
"Neopelma aurifrons",5230513
"Notharchus macrorhynchos",2475102
"Nyctibius aethereus",2496796
"Nyctibius grandis",2496801
"Nyctibius griseus",2496811
"Nycticorax nycticorax",2480863
"Nyctidromus albicollis",2496990
"Nyctiphrynus ocellatus",2497005
"Ocreatus underwoodii",2476351
"Odontophorus capueira",5228044
"Onychoprion fuscatus",5229252
"Opisthoprora euryptera",2476693
"Orchesticus abeillei",5230602
"Oreophylax moreirae",2485998
"Oreotriccus griseicapillus",0
"Oreotrochilus chimborazo",2476681
"Oreotrochilus leucopleurus",2476680
"Ornithion inerme",2483380
"Ortalis guttata",2482254
"Orthogonys chloricterus",2488373
"Orthorhyncus cristatus",2476284
"Oryzoborus angolensis",2492254
"Oryzoborus maximiliani",2492240
"Oxypogon guerinii",5228550
"Oxyruncus cristatus",2486438
"Oxyura dominica",2498316
"Pachyptila vittata",5229325
"Pachyramphus castaneus",5230306
"Pachyramphus marginatus",5230343
"Pachyramphus polychopterus",5230363
"Pachyramphus rufus",5230318
"Pachyramphus viridis",5230324
"Panterpe insignis",2476164
"Pardirallus maculatus",2474711
"Pardirallus nigricans",2474707
"Paroaria capitata",2492087
"Paroaria coronata",2492081
"Paroaria dominicana",2492086
"Parula pitiayumi",7341895
"Passer domesticus",5231190
"Patagioenas cayennensis",2495295
"Patagioenas picazuro",2495287
"Patagioenas plumbea",2495314
"Patagioenas speciosa",2495339
"Patagona gigas",2476964
"Penelope obscura",2482212
"Penelope superciliaris",2482204
"Phacellodomus ferrugineigula",2485120
"Phacellodomus rufifrons",2485126
"Phaeochroa cuvierii",2476178
"Phaeothlypis rivularis",7341654
"Phaethornis anthophilus",2476595
"Phaethornis augusti",2476628
"Phaethornis bourcieri",2476576
"Phaethornis eurynome",2476592
"Phaethornis griseogularis",2476584
"Phaethornis guy",2476607
"Phaethornis hispidus",2476619
"Phaethornis idaliae",2476606
"Phaethornis longuemareus",2476572
"Phaethornis malaris",2476612
"Phaethornis margarettae",0
"Phaethornis nattereri",2476635
"Phaethornis nigrirostris",0
"Phaethornis philippii",2476598
"Phaethornis pretrei",2476599
"Phaethornis ruber",2476636
"Phaethornis rupurumii",2476580
"Phaethornis sp.",0
"Phaethornis squalidus",2476579
"Phaethornis superciliosus",2476573
"Phaethornis syrmatophorus",2476589
"Phaethornis yaruqui",2476588
"Pharomachrus sp.",0
"Pheugopedius genibarbis",7341176
"Phibalura flavirostris",2486509
"Philydor atricapillus",2485707
"Philydor rufum",2485712
"Phyllomyias burmeisteri",2484049
"Phyllomyias fasciatus",2484057
"Phyllomyias griseocapilla sp.",2484061
"Phyllomyias virescens",2484045
"Phylloscartes oustaleti",2483221
"Piaya cayana",2496432
"Piculus aurulentus",5228880
"Piculus chrysochloros",5228906
"Piculus flavigula",5228869
"Picumnus albosquamatus",5228779
"Picumnus cirratus",9587550
"Picumnus sp.",0
"Pilherodius pileatus",2480816
"Pionopsitta pileata",2479983
"Pionus fuscus",2479912
"Pionus maximiliani",2479907
"Pionus menstruus",2479902
"Pipra erythrocephala",2487629
"Pipra pipra",2487639
"Pipra rubrocapilla",2487621
"Pipraeidea melanonota",2488795
"Piprites chloris",2486429
"Pipromorpha oleaginea",0
"Pipromorpha rufiventris",0
"Piranga flava",2488498
"Pitangus sulphuratus",2482755
"Platycichla flavipes",7342122
"Platyrinchus leucoryphus",5229574
"Platyrinchus mystaceus",5229587
"Podager nacunda",5232074
"Podiceps dominicus",2482044
"Podilymbus podiceps",2482077
"Poecilotriccus plumbeiceps",2483906
"Polytmus guainumbi",2477020
"Polytmus theresiae",2477024
"Poospiza lateralis",2491155
"Porphyrio martinica",5228136
"Porzana albicollis",2474616
"Primolius maracana",2479270
"Procellaria aequinoctialis",2481495
"Procnias nudicollis",2486405
"Progne chalybea",2489133
"Progne sp.",0
"Progne subis",2489129
"Progne tapera",2489136
"Psarocolius decumanus",2484217
"Pseudoscops clamator",2497774
"Pteroglossus aracari",2478828
"Pterophanes cyanopterus",2476159
"Puffinus puffinus",5229380
"Pulsatrix koeniswaldiana",2497885
"Pygochelidon cyanoleuca",2489208
"Pyriglena leucoptera",2490068
"Pyrocephalus rubinus",2483647
"Pyroderus scutatus",2486243
"Pyrrhura cruentata",2479855
"Pyrrhura frontalis",2479840
"Pyrrhura leucotis",2479844
"Ramphastos toco",2478765
