"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"notes";"original.search"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4099;"Aphelandra maximiliana (Nees) Benth.";NA;"Acanthaceae";"species";"accepted";"Aphelandra maximiliana";"EN";"";"Aphelandra maximiliana"
4108;"Aphelandra prismatica (Vell.) Hiern";NA;"Acanthaceae";"species";"accepted";"Aphelandra prismatica";"LC";"";"Aphelandra prismatica"
4108;"Aphelandra prismatica (Vell.) Hiern";NA;"Acanthaceae";"species";"accepted";"Aphelandra prismatica";"LC";"";"Aphelandra prismatica"
4108;"Aphelandra prismatica (Vell.) Hiern";NA;"Acanthaceae";"species";"accepted";"Aphelandra prismatica";"LC";"";"Aphelandra prismatica"
4108;"Aphelandra prismatica (Vell.) Hiern";NA;"Acanthaceae";"species";"accepted";"Aphelandra prismatica";"LC";"";"Aphelandra prismatica"
4108;"Aphelandra prismatica (Vell.) Hiern";NA;"Acanthaceae";"species";"accepted";"Aphelandra prismatica";"LC";"";"Aphelandra prismatica"
4108;"Aphelandra prismatica (Vell.) Hiern";NA;"Acanthaceae";"species";"accepted";"Aphelandra prismatica";"LC";"";"Aphelandra prismatica"
4108;"Aphelandra prismatica (Vell.) Hiern";NA;"Acanthaceae";"species";"accepted";"Aphelandra prismatica";"LC";"";"Aphelandra prismatica"
4110;"Aphelandra schottiana (Nees) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra schottiana";"LC";"";"Aphelandra schottiana"
4110;"Aphelandra schottiana (Nees) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra schottiana";"LC";"";"Aphelandra schottiana"
4110;"Aphelandra schottiana (Nees) Profice";NA;"Acanthaceae";"species";"accepted";"Aphelandra schottiana";"LC";"";"Aphelandra schottiana"
NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Aphelandra sinclairiana"
